Ethnicity,Total,Male,Female,Municipality
Bosniaks,23,10,13,Ohrid
Other,2008,1006,1002,Ohrid
Undeclared,13,9,4,Ohrid
Unknown,7,4,3,Ohrid
Admin,4289,2100,2189,Ohrid
Total,9150,4613,4537,Petrovec
Macedonians,4609,2295,2314,Petrovec
Albanians,1676,861,815,Petrovec
Turks,116,61,55,Petrovec
Roma,54,27,27,Petrovec
Vlachs,2,0,2,Petrovec
Serbs,327,179,148,Petrovec
Bosniaks,1701,869,832,Petrovec
Other,63,33,30,Petrovec
Undeclared,0,0,0,Petrovec
Unknown,2,1,1,Petrovec
Admin,600,287,313,Petrovec
Total,3983,2024,1959,Pehchevo
Macedonians,3233,1632,1601,Pehchevo
Albanians,1,0,1,Pehchevo
Turks,280,148,132,Pehchevo
Roma,256,136,120,Pehchevo
Vlachs,1,0,1,Pehchevo
Serbs,10,2,8,Pehchevo
Bosniaks,1,1,0,Pehchevo
Other,32,21,11,Pehchevo
Undeclared,0,0,0,Pehchevo
Unknown,0,0,0,Pehchevo
Admin,169,84,85,Pehchevo
Total,4222,2122,2100,Plasnica
Macedonians,9,4,5,Plasnica
Albanians,13,1,12,Plasnica
Turks,4101,2070,2031,Plasnica
Roma,0,0,0,Plasnica
Vlachs,0,0,0,Plasnica
Serbs,0,0,0,Plasnica
Bosniaks,1,0,1,Plasnica
Other,0,0,0,Plasnica
Undeclared,0,0,0,Plasnica
Unknown,1,1,0,Plasnica
Admin,97,46,51,Plasnica
Total,69025,34208,34817,Prilep
Macedonians,58349,28755,29594,Prilep
Albanians,127,25,102,Prilep
Turks,1060,547,513,Prilep
Roma,3966,2048,1918,Prilep
Vlachs,30,11,19,Prilep
Serbs,113,59,54,Prilep
Bosniaks,117,64,53,Prilep
Other,284,150,134,Prilep
Undeclared,9,5,4,Prilep
Unknown,11,7,4,Prilep
Admin,4959,2537,2422,Prilep
Total,13417,6814,6603,Probishtip
Macedonians,12617,6401,6216,Probishtip
Albanians,8,0,8,Probishtip
Turks,2,2,0,Probishtip
Roma,104,52,52,Probishtip
Vlachs,21,10,11,Probishtip
Serbs,56,31,25,Probishtip
Bosniaks,1,0,1,Probishtip
Other,65,37,28,Probishtip
Undeclared,0,0,0,Probishtip
Unknown,0,0,0,Probishtip
Admin,543,281,262,Probishtip
Total,24122,12137,11985,Radovish
Macedonians,17278,8649,8629,Radovish
Albanians,24,11,13,Radovish
Turks,4013,2071,1942,Radovish
Roma,261,139,122,Radovish
Vlachs,14,6,8,Radovish
Serbs,25,14,11,Radovish
Bosniaks,2,1,1,Radovish
Other,70,39,31,Radovish
Undeclared,3,2,1,Radovish
Unknown,1,1,0,Radovish
Admin,2431,1204,1227,Radovish
Total,3465,1828,1637,Rankovce
Macedonians,3055,1616,1439,Rankovce
Albanians,0,0,0,Rankovce
